Ringkobing,wind,23,23,23,19,20,20,19,18,22,23,23,23
Ringkobing,rain,17,13,12,13,11,13,14,14,15,16,16,17
Ringkobing,air,1,2,5,9,15,17,18,19,15,12,9,2
Ringkobing,water,5,4,5,7,11,13,17,18,16,14,11,7
Fehmarn,wind,18,18,18,15,14,14,15,15,16,16,17,20
Fehmarn,rain,13,10,12,10,9,10,12,11,11,12,15,13
Fehmarn,air,2,3,6,10,16,19,20,20,18,13,7,4
Fehmarn,water,2,2,3,5,9,14,17,17,15,10,5,4
